2863	1
6182	1
5953	24
1456	52
639	1
6653	13
14039	334
1126	1
13247	186
1126	1
6829	513
142	120
6403	433
1901	64
2796	25
100	2
3259	4
9319	38
8903	141
3328	43
70	3
413	29
9997	358
9380	588
304	1
10520	208
2440	1
424	20
2390	10
2210	622
2942	3
2870	169
92	1
12015	75
4050	501
7605	39
8279	43
1720	1
10170	63
1720	1
1469	1
4145	3
2359	1
1236	2
183	3
12741	8
581	1
1172	2
235	1
1172	3
776	1
46	2576
12792	793
10682	25
384	14
9800	70
1654	3
6852	1669
3765	856
13759	57
10760	8
5310	134
3837	13
9925	524
6301	2
5337	18
1610	1
3828	5
5052	12
3828	1
217	2
10697	637
1197	5
443	1
5046	1149
443	4
4297	14
443	14
496	1
8256	53
451	2
4087	6
720	96
10471	197
913	1
10780	2
132	693
2281	1
9412	1348
2281	5
92	1
5902	186
1004	1
10048	62
3966	1
94	2
10017	26
9939	391
3384	52
1644	2
7601	28
2261	3
13845	21
999	1
7525	426
5617	20
1859	29
968	338
4484	1365
4363	816
6681	25
787	369
8801	4
2611	383
143	1
7925	531
12203	10
6561	22
3051	29
3375	3
217	1
5294	294
4008	1493
1182	554
8426	2
3630	9
2300	165
5480	148
5493	3
1286	19
1986	97
181	8
31	3
2272	655
1770	1
1413	19
471	193
2004	56
3484	3
10589	159
8422	143
373	5
13952	40
14074	54
4491	6
4736	7
384	3
6344	21
7615	1
5885	1
6011	3
5885	1
317	773
7211	621
13546	227
1179	1
7025	1
5735	70
1667	1
5092	11
6795	72
5061	56
4216	1362
2957	229
791	4
7906	533
561	21
9298	728
2032	1061
5497	1167
133	2
9139	285
2321	129
1820	73
13297	143
1376	1
384	3
9455	1209
1941	83
9455	59
5058	27
1377	6
9762	121
14462	991
11810	379
8315	1
10808	112
5301	3
9889	64
2234	529
339	60
2234	40
2440	1
2390	97
2438	1
2390	5
64	1
12555	4513
5847	40
984	10
162	1
5147	15
3286	4
9720	10
1166	10
10937	65
12930	229
14153	1465
7079	4
12042	1
5694	5
5694	5
34	1
11343	33
5163	310
9559	499
855	11
12893	227
339	27
2545	56
92	1
6787	75
162	1
8919	1
2014	12
11882	486
12934	515
1121	16
143	1
6931	8
4724	2
4513	25
34	1
5651	1
1505	1
2057	1
13204	17
3418	3
2950	3
1520	12
34	1
2939	70
211	1
1306	1
899	109
987	2
8229	35
4711	5
384	1
2537	7
8456	1750
4038	3458
1761	11
3855	136
64	1
7318	1900
690	1
8328	1
2559	16
6805	2
12225	250
6805	16
542	4
10260	977
34	1
7881	6
4089	48
3107	3404
11775	25
13241	38
1019	2
8366	2
5552	5
5649	1
10378	4
708	1
2311	378
1336	975
436	1
12053	107
1082	1
2283	4
